"Id","Name","Id bioguide","Id govtrack","Id icpsr","Id wikipedia","Id wikidata","Id google entity id","Name first","Name last","Bio birthday","Bio gender","Id house history","Name middle","Name nickname","Id ballotpedia","Name suffix","Id bioguide previous","Id house history alternate","Other names","Id thomas","Id cspan","Id votesmart","Id lis","Name official full","Id opensecrets","Id fec","Id maplight","Leadership roles","Family"
"B000226","Richard Bassett","B000226","401222","507","Richard Bassett (Delaware politician)","Q518823","kg:/m/02pz46","Richard","Bassett","1745-04-02","M","","","","","","","","","","","","","","","","","",""
"B000546","Theodorick Bland","B000546","401521","786","Theodorick Bland (congressman)","Q1749152","kg:/m/033mf4","Theodorick","Blssand","1742-03-21","M","9479","","","","","","","","","","","","","","","","",""
"B001086","Aedanus Burke","B001086","402032","1260","Aedanus Burke","Q380504","kg:/m/03yccv","Aedanus","Burke","1743-06-16","M","10177","","","","","","","","","","","","","","","","",""
"C000187","Daniel Carroll","C000187","402334","1538","Daniel Carroll","sQ674371","kg:/m/02q22c","Daniel","Carroll","1730-07-22","M","10687","","","","","","","","","","","","","","","","",""
"C000538","George Clymer","C000538","402671","1859","George Clymer","Q708913","kg:/m/01mpsj","George","Clymer","1739-03-16","M","11120","","","","","","","","","","","","","","","","",""
"C000710","Benjamin Contee","C000710","402834","2010","Benjamin Contee","Q868334","kg:/m/03xb7p","Benjamin","Contee","","M","11343","","","","","","","","","","","","","","","","",""
"D000013","Tristram Dalton","D000013","403156","2307","Tristram Dalton","Q1365791s","kg:/m/03ynvb","Tristram","Dalton","1738-05-28","M","","","","","","","","","","","","","","","","","",""
"E000155","Jonathan Elmer","E000155","403846","2943","Jonathan Elmer","Q929830","kg:/m/03zxl_","Jonathan","Elmer","1745-11-29","M","12784","","","","","","","","","","","","","","","","",""
"F000100","William Few","F000100","404057","3128","William Few","Q664099","kg:/m/02pz57","William","Few","1748-06-08","M","13100","","","","","","","","","","","","","","","","",""
"F000224","William Floyd","F000224","404179","3237","William Floyd","Q1381060","kg:/m/01mpvf","William","Floyd","1734-12-17","M","13251","","","","","","","","","","","","","","","","",""
"G000012","George Gale","G000012","404389","3430","George Gale (congressman)","Q1619320","kg:/m/03_mdj","George","Gale","1756-06-03","M","13580","","","","","","","","","","","","","","","","",""
"G000403","William Grayson","G000403","404753","3771","William Grayson","Q471060","kg:/m/03zxy1","William","Grayson","","M","14074","","","","","","","","","","","","","","","","",""
"G000500","Jonathan Grout","G000500","404845","3857","Jonathan Grout","Q1703183","kg:/m/08tx4v","Jonathan","Grout","1737-07-23","M","14192","","","","","","","","","","","","","","","","",""
"H000368","Benjamin Hawkins","H000368","405237","4212","Benjamin Hawkins","Q2896102","kg:/m/02g9m0","Benjamin","Hawkins","1754-08-15","M","14735","","","","","","","","","","","","","","","","",""
"H000995","Benjamin Huntington","H000995","405835","4766","Benjamin Huntington","Q581141","kg:/m/04vfjf","Benjamin","Huntington","1736-04-19","M","15507","","","","","","","","","","","","","","","","",""
"I000053","Ralph Izard","I000053","412129","4837","Ralph Izard","Q969896","kg:/m/0376kk","Ralph","Izard","","M","15684","","","","","","","","","","","","","","","","",""
"J000182","William Johnson","J000182","406077","4998","William Samuel Johnson","Q182543","kg:/m/02pyzk","William","Johnson","1727-10-07","M","15927","Samuel","","","","","","","","","","","","","","","",""
"J000198","Samuel Johnston","J000198","406093","5012","Samuel Johnston","Q730149s","kg:/m/02j2g3","Samuel","Johnston","1733-12-15","M","15947","","","","","","","","","","","","","","","","",""
"L000201","Richard Lee","L000201","406704","5565","Richard Henry Lee1","Q725907","kg:/m/06k58","Richard","Lee","1732-01-20","M","16846","Henry","","","","","","","","","","","","","","","",""
"M000031","William Maclay","M000031","407058","5891","William Maclay (Pennsylvania senator)","Q442393","kg:/m/02d56c","William","Maclay","1737-07-20","M","","","","","","","","","","","","","","","","","",""
"M000234","George Mathews","M000234","407252","6071","George Mathews (soldier)","Q887630","kg:/m/0357nx","George","Mathews","1739-08-30","M","17612","","","","","","","","","","","","","","","","",""
"M000985","Robert Morris","M000985","407953","6712","Robert Morris (financier)","Q464876","kg:/m/01hh_b","Robert","Morris","1734-01-20","M","18562","","","","","","","","","","","","","","","","",""
"P000092","George Partridge","P000092","408502","7224","George Partridge","Q1508042","kg:/m/06gh02","George","Partridge","1740-02-08","M","19385","","","","","","","","","","","","","","","","",""
"P000102","William Paterson","P000102","408510","7231","William Paterson (judge)","Q729054","kg:/m/01r022","William","Paterson","1745-12-24","M","19400","","","","","","","","","","","","","","","","",""
"S000624","William Smith","S000624","410099","8693","William Smith (Maryland politician)","Q978343","kg:/m/03nqjd","William","Smith","1728-04-12","M","21907","","","","","","","","","","","","","","","","",""
"S000961","Michael Stone","S000961","410420","8983","Michael Jenifer Stone","Q219505","kg:/m/07xtws","Michael","Stone","","M","22329","Jenifer","","","","","","","","","","","","","","","",""
"V000053","Jeremiah Van Rensselaer","V000053","411095","9629","Jeremiah Van Rensselaer","Q1687548","kg:/m/0506gg","Jeremiah","Van Rensselaer","1738-08-27","M","20938","","","","","","","","","","","","","","","","",""
"W000783","Henry Wynkoop","W000783","411931","10405","Henry Wynkoop","Q5730595","kg:/m/03tpf2","Henry","Wynkoop","1737-03-02","M","24156","","","","","","","","","","","","","","","","",""
"D000324","Philemon Dickinson","D000324","403444","2576","Philemon Dickinson","Q2702466","kg:/m/03zxkh","Philemon","Dickinson","1739-04-05","M","12231","","","","","","","","","","","","","","","","",""
"W000059","John Walker","W000059","411238","9747","John Walker (Virginia politician)","Q450549","kg:/m/03zy19","John","Walker","1744-02-13","M","23286","","","","","","","","","","","","","","","","",""
"A000307","John Ashe","A000307","400951","259","John Baptista Ashe (Continental Congress)","Q1699261","kg:/m/02__xr","John","Ashe","","M","8686","Baptista","","","","","","","","","","","","","","","",""
"B000167","Robert Barnwell","B000167","401169","456","Robert Barnwell","Q2156471","kg:/m/027gy1","Robert","Barnwell","1761-12-21","M","8986","","","","","","","","","","","","","","","","",""
"B001133","Aaron Burr","B001133","402077","1302","Aaron Burr","Q179090","kg:/m/0fsc6","Aaron","Burr","1756-02-06","M","","","","","","","","","","","","","","","","","",""
"C000009","George Cabot","C000009","402171","1384","George Cabot","Q382723","kg:/m/043103","George","Cabot","1752-12-03","M","","","","","","","","","","","","","","","","","",""
"C000185","Charles Carroll","C000185","402332","1536","Charles Carroll of Carrollton","Q466009","kg:/m/01jtw2","Charles","Carroll","1737-09-19","M","10684","","of Carrollton","","","","","","","","","","","","","","",""
"E000147","Oliver Ellsworth","E000147","403838","2936","Oliver Ellsworth","Q515858","kg:/m/027xqz","Oliver","Ellsworth","1745-04-29","M","12776","","","Oliver Ellsworth","","","","","","","","","","","","","",""
"G000139","Elbridge Gerry","G000139","404507","3541","Elbridge Gerry","Q219797","kg:/m/02sp2","Elbridge","Gerry","1744-07-17","M","13737","","","","","","","","","","","","","","","","",""
"H000916","Daniel Huger","H000916","405761","4695","Daniel Huger","Q1161182","kg:/m/04vc5n","Daniel","Huger","1742-02-20","M","15416","","","","","","","","","","","","","","","","",""
"J000036","Israel Jacobs","J000036","405941","4871","Israel Jacobs","Q6087007","kg:/m/09q5_d","Israel","Jacobs","1726-06-09","M","15735","","","","","","","","","","","","","","","","",""
"K000158","Philip Key","K000158","406322","5224","Philip Key (U.S. politician)","Q219450","kg:/m/05583l","Philip","Key","","M","16275","","","","","","","","","","","","","","","","",""
"R000091","George Read","R000091","409071","7762","George Read (American politician, born 1733)","Q471303","kg:/m/01mrhw","George","Read","1733-09-18","M","20195","","","","","","","","","","","","","","","","",""
"R000350","Moses Robinson","R000350","409321","7989","Moses Robinson","Q888648","kg:/m/05k_0t","Moses","Robinson","1741-03-22","M","","","","","","","","","","","","","","","","","",""
"S000140","Cornelius Schoonmaker","S000140","409648","8272","Cornelius C. Schoonmaker","Q653373","kg:/m/09q5dw","Cornelius","Schoonmaker","","M","21310","Corneliusen","","","","","","","","","","","","","","","",""
"S000242","Joshua Seney","S000242","409746","8363","Joshua Seney","Q501799","kg:/m/06ll_8","Joshua","Seney","1756-03-04","M","21435","","","","","","","","","","","","","","","","",""
"S000340","Upton Sheredine","S000340","409837","8449","Upton Sheredine","Q2119992","kg:/m/08yry1","Upton","Sheredine","","M","21559","","","","","","","","","","","","","","","","",""
"S000349","Roger Sherman","S000349","409845","8457","Roger Sherman","Q354721","kg:/m/01mp_3","Roger","Sherman","1721-04-19","M","21573","","","","","","","","","","","","","","","","",""
"S000412","Peter Silvester","S000412","409906","8511","Peter Silvester (1734–1808)","Q2078354","kg:/m/09l13b","Peter","Silvester","","M","21650","","","","","","","","","","","","","","","","",""
"S000832","John Steele","S000832","410296","8869","John Steele (North Carolina politician)","Q1701809","kg:/m/04f8lz","John","Steele","1764-11-16","M","22170","","","","","","","","","","","","","","","","",""
"S000866","Samuel Sterett","S000866","410328","8896","Samuel Sterett","Q1203736","kg:/m/0557st","Samuel","Sterett","","M","22211","","","","","","","","","","","","","","","","",""
"S001047","Jonathan Sturges","S001047","410501","9062","Jonathan Sturges","Q1703315","kg:/m/06qk1k","Jonathan","Sturges","1740-08-23","M","22432","","","","","","","","","","","","","","","","",""
"T000403","Thomas Tucker","T000403","410972","9501","Thomas Tudor Tucker","Q464466","kg:/m/06rg8t","Thomas","Tucker","1745-06-25","M","23126","Tudor","","","","","","","","","","","","","","","",""
"W000216","Anthony Wayne","W000216","411384","9885","Anthony Wayne","Q574116","kg:/m/0k2g0","Anthony","Wayne","1745-01-01","M","23476","","","","","","","","","","","","","","","","",""
"W000352","Alexander White","W000352","411514","10006","Alexander White (Virginia politician)","Q2643271","kg:/m/07v7xs","Alexander","White","","M","23635","","","","","","","","","","","","","","","","",""
"W000551","Hugh Williamson","W000551","411707","10193","Hugh Williamson","Q663151","kg:/m/02pyy0","Hugh","Williamson","1735-12-05","M","23868","","","","","","","","","","","","","","","","",""
"W000560","Francis Willis","W000560","411716","10202","Francis Willis (Representative)","Q1361138","kg:/m/0265tn5","Francis","Willis","1745-01-05","M","23877","","","","","","","","","","","","","","","","",""
"E000075","John Edwards","E000075","403764","2866","John Edwards (Kentucky politician)","Q432795","kg:/m/08rgfg","John","Edwards","","M","","","","","","","","","","","","","","","","","",""
"P000473","Richard Potts","P000473","408858","7564","Richard Potts","Q6054920","kg:/m/05rgs3","Richard","Potts","1753-07-19","M","19865","","","","","","","","","","","","","","","","",""
